Celta,,,,,
La Liga,,,,,
Año,jugados,goles,asistencias,T. amarillas ,T. rojas 
2020-21,19,9,6,4,0
2019-20,37,14,3,9,0
2018-19,27,20,6,5,0
2017-18,34,22,5,9,0
2016-17,32,19,3,9,1
2015-16,35,14,4,8,0
Copa del Rey,,,,,
Año,jugados,goles,asistencias,T. amarillas,T. rojas 
2018-19,2,1,0,0,0
2017-18,3,1,0,0,0
2016-17,5,2,0,1,0
2015-16,5,4,0,2,0
Europa League,,,,,
Año,jugados,goles,asistencias,T. amarillas,T.rojas
2016-17,12,5,2,4,1
Sevilla,,,,,
Liga,,,,,
Año,jugados,goles,asistencias ,T. amarillas,T. rojas
2014-15,16,2,1,2,0
Europa League,,,,,
Año,jugados,goles,asistencias,T. amarillas ,T.rojas 
2014-15,3,1,0,0,0
Copa del Rey ,,,,,
Año,jugados,goles,asistencias,T.amarillas,T.rojas 
2014-15,5,7,0,0,0